citys,cums,deaths
New York,386948,30758
New Jersey,166164,12489
California,146659,4979
Illinois,131198,6260
Massachusetts,105059,7538
Texas,84927,1956
Pennsylvania,82481,6162
Florida,70971,2878
Michigan,65705,5994
Maryland,60613,2900
Georgia,55783,2418
Virginia,53211,1535
Louisiana,44995,2996
Connecticut,44689,4159
North Carolina,41418,1121
Ohio,40425,2510
Indiana,39146,2396
Arizona,33039,1156
Minnesota,29795,1305
Tennessee,29118,466
Colorado,28842,1584
Washington,25741,1201
Alabama,23710,769
Iowa,23350,644
Wisconsin,22246,689
Mississippi,19091,881
South Carolina,17170,593
Nebraska,16522,215
Rhode Island,15947,833
Missouri,15873,870
Utah,13577,139
Kentucky,12166,497
Arkansas,11547,176
Kansas,10973,243
Nevada,10704,461
Delaware,10173,414
District of Columbia,9654,506
New Mexico,9526,420
Oklahoma,7849,360
South Dakota,5742,74
Puerto Rico,5536,146
Oregon,5377,173
New Hampshire,5251,315
Idaho,3353,87
North Dakota,3016,74
Maine,2721,100
West Virginia,2249,88
Vermont,1119,55
Wyoming,1027,18
Hawaii,706,17
Alaska,625,12
Montana,573,18
Guam,183,5
US Virgin Islands,72,6
Diamond Princess Cruise,49,0
Grand Princess Cruise,103,3
Others,41667,1844
