国家,现有确诊,累计确诊,死亡,治愈
美国,1186227,2208400,903041,119132
巴西,387943,923189,490005,45241
俄罗斯,243671,544725,293780,7274
印度,153178,343091,180013,9900
英国,256253,299600,1293,42054
西班牙,67314,291408,196958,27136
意大利,24569,237500,178526,34405
秘鲁,104895,237156,125205,7056
法国,91338,194347,73459,29550
伊朗,30699,192439,152675,9065
德国,6590,188252,172842,8820
智利,24834,184449,156232,3383
土耳其,23077,181298,153379,4842
墨西哥,21159,154863,115394,18310
巴基斯坦,89692,148921,56390,2839
沙特阿拉伯,45723,136315,89540,1052
加拿大,30918,101085,61896,8271
孟加拉,56955,94481,36264,1262
卡塔尔,21536,82077,60461,80
南非,32646,76334,42063,1625
比利时,33867,60155,16625,9663
白俄罗斯,23778,55369,31273,318
瑞典,48384,53323,0,4939
哥伦比亚,31417,53211,19986,1808
荷兰,43020,49295,186,6089
厄瓜多尔,20289,47943,23684,3970
埃及,33360,47856,12730,1766
阿联酋,13828,42982,28861,293
新加坡,9780,40969,31163,26
印度尼西亚,22466,40400,15703,2231
葡萄牙,12602,37336,23212,1522
科威特,8449,36958,28206,303
阿根廷,23107,34159,10174,878
乌克兰,17233,33209,15054,922
瑞士,300,31154,28900,1954
波兰,14269,30195,14654,1272
菲律宾,19126,26781,6552,1103
阿富汗,20311,26310,5508,491
爱尔兰,927,25334,22698,1709
阿曼,14066,25269,11089,114
多米尼加,8938,23686,14133,615
伊拉克,12126,22700,9862,712
罗马尼亚,4907,22415,16071,1437
巴拿马,7731,21962,13774,457
巴林,5640,19553,13866,47
以色列,3744,19495,15449,302
玻利维亚,15011,19073,3430,632
亚美尼亚,10625,17489,6571,293
日本本土,898,17484,15652,934
奥地利,419,17189,16089,681
尼日利亚,11070,17148,5623,455
哈萨克斯坦,5457,15192,9647,88
丹麦,527,12450,11325,598
塞尔维亚,546,12426,11624,256
摩尔多瓦,4930,12254,6901,423
韩国,1145,12198,10774,279
加纳,7809,12193,4326,58
阿尔及利亚,2517,11147,7842,788
危地马拉,8192,10706,2096,418
阿塞拜疆,4588,10662,5948,126
捷克,2422,10111,7358,331
喀麦隆,4018,9864,5570,276
洪都拉斯,7831,9178,1025,322
摩洛哥,782,8931,7937,212
挪威,280,8660,8138,242
马来西亚,651,8505,7733,121
苏丹,4443,7740,2820,477
澳大利亚,409,7370,6859,102
芬兰,586,7112,6200,326
尼泊尔,5414,6591,1158,19
科特迪瓦,2996,5679,2637,46
乌兹别克斯坦,1378,5493,4096,19
塞内加尔,1652,5247,3525,70
塔吉克斯坦,1486,5160,3624,50
刚果（金）,4234,4974,628,112
几内亚,1286,4639,3327,26
吉布提,1172,4539,3324,43
海地,4341,4441,24,76
北马其顿,2341,4299,1757,201
加蓬,2653,4114,1432,29
匈牙利,996,4077,2516,565
卢森堡,32,4075,3933,110
萨尔瓦多,1824,3941,2041,76
肯尼亚,2427,3860,1328,105
埃塞俄比亚,2831,3630,738,61
保加利亚,1455,3453,1817,181
委内瑞拉,2288,3150,835,27
希腊,1589,3148,1374,185
泰国,84,3135,2993,58
波黑,739,3085,2178,168
索马里,1921,2658,649,88
吉尔吉斯斯坦,596,2472,1847,29
中非共和国,2000,2410,396,14
古巴,195,2273,1994,84
克罗地亚,8,2255,2140,107
马尔代夫,416,2094,1670,8
毛里塔尼亚,1591,2057,373,93
爱沙尼亚,178,1975,1728,69
斯里兰卡,533,1915,1371,11
马里,636,1885,1145,104
尼加拉瓜,521,1823,1238,64
冰岛,6,1812,1796,10
哥斯达黎加,990,1796,794,12
立陶宛,259,1776,1441,76
阿尔巴尼亚,571,1672,1064,37
赤道几内亚,1117,1664,515,32
斯洛伐克,98,1552,1426,28
