citys,cums,deaths
New York,381264,30236
New Jersey,163336,12049
California,126196,4541
Illinois,125915,5795
Massachusetts,102557,7235
Pennsylvania,78815,5898
Texas,72548,1812
Florida,61488,2660
Michigan,58525,5613
Maryland,56770,2702
Georgia,50621,2147
Virginia,48532,1454
Connecticut,43460,4038
Ohio,37759,2357
Indiana,36578,2258
Louisiana,36504,2506
North Carolina,33296,1015
Colorado,27641,1524
Minnesota,26980,1159
Tennessee,25664,408
Arizona,24332,1015
Washington,23868,1153
Iowa,21094,589
Wisconsin,20249,633
Alabama,19073,672
Mississippi,16769,803
Rhode Island,15441,772
Nebraska,15406,187
Missouri,14572,805
South Carolina,12415,501
Utah,11252,120
Kentucky,10977,466
Kansas,10306,232
Delaware,9773,388
Nevada,9309,436
District of Columbia,9199,479
New Mexico,8672,387
Arkansas,8651,152
Oklahoma,7003,345
South Dakota,5277,64
New Hampshire,4953,278
Puerto Rico,4620,141
Oregon,4570,161
Idaho,3054,83
North Dakota,2745,71
Maine,2482,98
West Virginia,2119,84
Vermont,1027,55
Wyoming,933,17
Hawaii,664,17
Montana,541,18
Alaska,524,10
Guam,179,5
US Virgin Islands,71,6
Grand Princess Cruise,103,3
Diamond Princess Cruise,49,0
Others,38077,1730
