省份,新增确诊,累计确诊,死亡,治愈
湖北,0,68135,4512,63623
广东,3,1601,8,1584
河南,0,1276,22,1254
浙江,0,1268,1,1267
香港,3,1102,4,1045
湖南,0,1019,4,1015
安徽,0,991,6,985
黑龙江,0,947,13,934
江西,0,932,1,931
山东,0,792,7,780
上海,0,677,7,664
江苏,0,653,0,653
北京,0,594,9,583
重庆,0,579,6,573
四川,0,578,3,558
台湾,0,443,7,429
福建,0,358,1,356
河北,0,328,6,322
陕西,0,309,3,305
广西,0,254,2,252
内蒙古,0,235,1,213
山西,0,198,0,198
天津,0,192,3,189
云南,0,185,2,183
海南,0,169,6,162
吉林,0,155,2,150
辽宁,0,149,2,147
贵州,0,147,2,145
甘肃,0,139,2,137
新疆,0,76,3,73
宁夏,0,75,0,75
澳门,0,45,0,45
青海,0,18,0,18
西藏,0,1,0,1
