国家,现有确诊,累计确诊,死亡,治愈
美国,1115672,1965708,738646,111390
巴西,325957,614941,254963,34021
俄罗斯,231499,449256,212237,5520
西班牙,63966,288058,196958,27134
英国,241822,283311,1228,40261
印度,116232,236954,114073,6649
意大利,36976,234531,163781,33774
法国,90444,190180,70622,29114
秘鲁,103024,187400,79214,5162
德国,7786,184924,168480,8658
土耳其,30292,168340,133400,4648
伊朗,29281,167156,129741,8134
智利,21693,122499,99358,1448
墨西哥,19015,110026,77841,13170
加拿大,35095,95947,53074,7778
沙特阿拉伯,24490,95748,70616,642
巴基斯坦,59467,93983,32581,1935
卡塔尔,24511,65495,40935,49
孟加拉,46776,60391,12804,811
比利时,33229,58907,16112,9566
荷兰,41153,47358,181,6024
白俄罗斯,24543,46868,22066,259
南非,19438,43434,23088,908
瑞典,38300,42939,0,4639
厄瓜多尔,17473,41575,20568,3534
阿联酋,17031,37642,20337,274
新加坡,12950,37183,24209,24
哥伦比亚,21885,36759,13670,1204
葡萄牙,11978,33969,20526,1465
埃及,21791,31115,8158,1166
瑞士,415,30936,28600,1921
科威特,12123,30644,18277,244
印度尼西亚,18308,29521,9443,1770
乌克兰,14052,27092,12255,785
波兰,11863,25410,12410,1137
爱尔兰,795,25163,22698,1670
阿根廷,14317,21037,6088,632
菲律宾,15309,20626,4330,987
罗马尼亚,4642,20103,14145,1316
阿富汗,17411,19551,1820,320
多米尼加,6447,18708,11736,525
以色列,2372,17706,15042,292
日本本土,1143,16958,14899,916
奥地利,429,16843,15742,672
巴拿马,5374,15463,9719,370
阿曼,11563,15086,3451,72
巴林,5228,13835,8585,22
玻利维亚,10562,12728,1739,427
哈萨克斯坦,5556,12511,6903,52
丹麦,636,12075,10853,586
尼日利亚,7815,11844,3696,333
亚美尼亚,8121,11817,3513,183
韩国,915,11719,10531,273
塞尔维亚,4489,11667,6931,247
阿尔及利亚,2792,9935,6453,690
伊拉克,4988,9846,4573,285
捷克,2321,9529,6881,327
摩尔多瓦,3684,9247,5240,323
加纳,5669,9168,3457,42
挪威,146,8522,8138,238
马来西亚,1540,8266,6610,116
摩洛哥,595,8071,7268,208
喀麦隆,2612,7392,4575,205
澳大利亚,460,7255,6693,102
芬兰,819,6941,5800,322
阿塞拜疆,2907,6860,3871,82
危地马拉,5216,6485,1053,216
洪都拉斯,5046,5971,677,248
苏丹,3594,5865,1924,347
塔吉克斯坦,1831,4370,2491,48
塞内加尔,1834,4155,2276,45
吉布提,2390,4123,1707,26
几内亚,1370,4060,2667,23
卢森堡,37,4032,3885,110
乌兹别克斯坦,759,4022,3247,16
匈牙利,1183,3970,2245,542
刚果（金）,3171,3764,512,81
科特迪瓦,1791,3431,1604,36
泰国,75,3104,2971,58
加蓬,2247,3101,833,21
希腊,1413,2967,1374,180
海地,2850,2924,24,50
尼泊尔,2568,2912,333,11
萨尔瓦多,1547,2849,1249,53
北马其顿,1009,2790,1632,149
保加利亚,980,2668,1528,160
波黑,479,2606,1968,159
肯尼亚,1752,2474,643,79
克罗地亚,31,2247,2113,103
索马里,1707,2204,418,79
委内瑞拉,1791,2145,334,20
古巴,202,2133,1848,83
吉尔吉斯斯坦,592,1974,1360,22
爱沙尼亚,174,1910,1667,69
马尔代夫,1159,1883,717,7
冰岛,2,1806,1794,10
埃塞俄比亚,1524,1805,262,19
斯里兰卡,932,1801,858,11
立陶宛,321,1694,1302,71
斯洛伐克,119,1526,1379,28
新西兰,1,1504,1481,22
马里,582,1485,816,87
斯洛文尼亚,11,1479,1359,109
中非共和国,1418,1451,29,4
几内亚比绍,1203,1368,153,12
黎巴嫩,516,1312,768,28
赤道几内亚,1094,1306,200,12
哥斯达黎加,523,1228,695,10
阿尔巴尼亚,269,1212,910,33
尼加拉瓜,702,1118,370,46
赞比亚,170,1089,912,7
巴拉圭,560,1087,516,11
突尼斯,69,1087,969,49
拉脱维亚,279,1085,781,25
马达加斯加,767,975,201,7
尼日尔,38,966,863,65
塞浦路斯,136,960,807,17
塞拉利昂,302,929,580,47
布基纳法索,75,888,760,53
毛里塔尼亚,771,883,69,43
安道尔,60,852,741,51
乍得,111,836,657,68
乌拉圭,90,834,721,23
格鲁吉亚,142,805,650,13
约旦,204,784,571,9
钻石号邮轮,48,712,651,13
圣马力诺,210,680,428,42
刚果（布）,433,635,182,20
马耳他,33,625,583,9
牙买加,200,595,385,10
乌干达,475,557,82,0
佛得角,292,536,239,5
坦桑尼亚,305,509,183,21
多哥,232,485,240,13
也门,335,469,23,111
巴勒斯坦,84,464,377,3
卢旺达,136,420,282,2
马拉维,350,409,55,4
莫桑比克,233,354,119,2
毛里求斯,3,337,324,10
利比里亚,128,334,176,30
越南,22,329,307,0
黑山,0,324,315,9
斯威士兰,81,305,221,3
津巴布韦,228,265,33,4
贝宁,107,261,151,3
利比亚,182,239,52,5
缅甸,79,236,151,6
蒙古,122,193,71,0
圭亚那,64,153,77,12
文莱,1,141,138,2
科摩罗,75,132,55,2
柬埔寨,2,125,123,0
叙利亚,65,124,53,6
特立尼达和多巴哥,1,117,108,8
巴哈马,36,102,55,11
摩纳哥,2,99,93,4
巴巴多斯,4,92,81,7
苏里南,81,91,9,1
安哥拉,61,86,21,4
列支敦士登公国,26,82,55,1
布隆迪,29,63,33,1
不丹,37,48,11,0
博茨瓦纳,16,40,23,1
厄立特里亚,0,39,39,0
马提尼克岛,36,37,0,1
安提瓜和巴布达,3,26,20,3
冈比亚,4,26,21,1
圣文森特和格林纳丁斯,11,26,15,0
纳米比亚,9,25,16,0
东帝汶,0,24,24,0
格林纳达,1,23,22,0
伯利兹,1,19,16,2
圣卢西亚,1,19,18,0
老挝,1,19,18,0
斐济,0,18,18,0
多米尼克,2,18,16,0
圣基茨和尼维斯,0,15,15,0
梵蒂冈,10,12,2,0
塞舌尔,0,11,11,0
巴布亚新几内亚,0,8,8,0
莱索托,2,4,2,0
