citys,cums,deaths
New York,381264,30236
New Jersey,163336,12049
California,126196,4541
Illinois,125915,5795
Massachusetts,102557,7235
Pennsylvania,78815,5898
Texas,72548,1812
Florida,61488,2660
Michigan,58525,5613
Maryland,56770,2702
Georgia,50621,2147
Virginia,48532,1454
Connecticut,43460,4038
Ohio,37759,2357
Indiana,36578,2258
Louisiana,36504,2506
North Carolina,33296,1015
Colorado,27641,1524
Minnesota,26980,1159
Tennessee,25664,408
Arizona,24332,1015
Washington,23868,1153
Iowa,21094,589
Wisconsin,20249,633
Alabama,19073,672
Mississippi,16769,803
Rhode Island,15441,772
Nebraska,15406,187
Missouri,14572,805
South Carolina,12415,501
Utah,11252,120
Kentucky,10977,466
Kansas,10306,232
Delaware,9773,388
Nevada,9309,436
District of Columbia,9199,479
New Mexico,8672,387
Arkansas,8651,152
Oklahoma,7003,345
South Dakota,5277,64
New Hampshire,4953,278
Puerto Rico,4620,141
Oregon,4570,161
Idaho,3054,83
North Dakota,2745,71
Maine,2482,98
West Virginia,2119,84
Vermont,1027,55
Wyoming,933,17
Hawaii,664,17
Montana,541,18
Alaska,524,10
Guam,179,5
US Virgin Islands,71,6
Grand Princess Cruise,103,3
Diamond Princess Cruise,49,0
Others,38077,1730
香港,1102,4
内蒙古,235,1
四川,578,3
广东,1601,8
上海,677,7
台湾,443,7
山东,792,7
吉林,155,2
北京,594,9
福建,358,1
陕西,309,3
海南,169,6
湖北,68135,4512
河南,1276,22
浙江,1268,1
湖南,1019,4
安徽,991,6
黑龙江,947,13
江西,932,1
江苏,653,0
重庆,579,6
河北,328,6
广西,254,2
山西,198,0
天津,192,3
云南,185,2
辽宁,149,2
贵州,147,2
甘肃,139,2
新疆,76,3
宁夏,75,0
澳门,45,0
青海,18,0
西藏,1,0
US,1934798,110383
Brazil,646006,35047
Russia,449834,5528
Spain,288058,27134
UK,283311,40261
India,236954,6649
Italy,234531,33774
Peru,187400,5162
Germany,185414,8763
Turkey,168340,4648
Iran,167156,8134
France,153055,29111
Chile,122499,1448
Mexico,110026,13170
Saudi Arabia,95748,642
Canada,94335,7703
Pakistan,93983,1935
Mainland China,83030,4634
Qatar,65495,49
Bangladesh,60391,811
Belgium,58907,9566
Netherlands,47152,6005
Belarus,46868,259
South Africa,43434,908
Sweden,42939,4639
Ecuador,41575,3534
United Arab Emirates,37642,274
Singapore,37183,24
Colombia,36635,1145
Portugal,33969,1465
Egypt,31115,1166
Switzerland,30936,1921
Kuwait,30644,244
Indonesia,29521,1770
Ukraine,26514,777
Poland,25410,1137
Ireland,25163,1670
Argentina,21037,632
Philippines,20626,987
Romania,20103,1316
Afghanistan,19551,320
Dominican Republic,18708,525
Israel,17706,292
Japan,17064,907
Austria,16843,672
Panama,15463,370
Oman,15086,72
Bahrain,13835,22
Bolivia,12728,427
Kazakhstan,12511,52
Armenia,12364,190
Denmark,11875,586
Nigeria,11844,333
South Korea,11719,273
Serbia,11667,247
Algeria,9935,690
Iraq,9846,285
Czech Republic,9529,327
Moldova,9247,323
Ghana,9168,42
Norway,8522,238
Malaysia,8266,116
Morocco,8071,208
Cameroon,7392,205
Australia,7255,102
Finland,6941,322
Azerbaijan,6860,82
Guatemala,6485,216
Honduras,5971,248
Sudan,5865,347
Tajikistan,4370,48
Senegal,4155,45
Djibouti,4123,26
Guinea,4060,23
Luxembourg,4032,110
Uzbekistan,4022,16
Hungary,3970,542
DRC,3764,81
Ivory Coast,3431,36
Thailand,3104,58
Gabon,3101,21
Greece,2967,180
Haiti,2924,50
Nepal,2912,11
El Salvador,2849,53
North Macedonia,2790,149
Bulgaria,2668,160
Bosnia and Herzegovina,2606,159
Kenya,2474,79
Croatia,2247,103
Somalia,2204,79
Venezuela,2145,20
Cuba,2133,83
Mayotte,2079,25
Kyrgyzstan,1974,22
Estonia,1910,69
Maldives,1883,7
Iceland,1806,10
Ethiopia,1805,19
Sri Lanka,1801,11
Lithuania,1694,71
Slovakia,1526,28
New Zealand,1504,22
Mali,1485,87
Slovenia,1479,109
CAR,1451,4
Guinea-Bissau,1368,12
Lebanon,1312,28
Equatorial Guinea,1306,12
Costa Rica,1228,10
Albania,1212,33
Nicaragua,1118,46
Hong Kong,1103,4
Zambia,1089,7
Paraguay,1087,11
Tunisia,1087,49
Latvia,1086,25
South Sudan,994,10
Madagascar,975,7
Niger,966,65
Cyprus,960,17
Sierra Leone,929,47
Burkina Faso,888,53
Mauritania,883,43
Andorra,852,51
Chad,836,68
Uruguay,834,23
Georgia,808,13
Jordan,784,9
Diamond Princess Cruise,712,13
San Marino,680,42
Congo,635,20
Malta,625,9
Jamaica,595,10
French Guiana,589,1
Channel Islands,561,46
Uganda,557,0
Cabo Verde,536,5
Tanzania,509,21
Sao Tome and Principe,499,12
Togo,485,13
Réunion,480,1
Yemen,469,111
Palestine,464,3
Taiwan,443,7
Rwanda,420,2
Malawi,409,4
Mozambique,354,2
Mauritius,337,10
Isle of Man,336,24
Liberia,334,30
Vietnam,329,0
Montenegro,324,9
Eswatini,305,3
Zimbabwe,265,4
Benin,261,3
Libya,239,5
Myanmar,236,6
Martinique,202,14
Mongolia,193,0
Faroe Islands,187,0
Gibraltar,174,0
Cayman Islands,164,1
Guadeloupe,164,14
Guyana,153,12
Bermuda,141,9
Brunei,141,2
Comoros,132,2
Cambodia,125,0
Syria,124,6
Trinidad and Tobago,117,8
Bahamas,102,11
Aruba,101,3
Monaco,99,4
Barbados,92,7
Suriname,91,1
Angola,86,4
Liechtenstein,82,1
Sint Maarten,77,15
Burundi,63,1
French Polynesia,60,0
Bhutan,48,0
Macau,45,0
Saint Martin,41,3
Botswana,40,1
Eritrea,39,0
Antigua and Barbuda,26,3
Gambia,26,1
St Vincent Grenadines,26,0
Namibia,25,0
Timor-Leste,24,0
Grenada,23,0
Curaçao,21,1
New Caledonia,20,0
Belize,19,2
Laos,19,0
Saint Lucia,19,0
Dominica,18,0
Fiji,18,0
Saint Kitts and Nevis,15,0
Falkland Islands,13,0
Greenland,13,0
Turks and Caicos,12,1
Vatican City,12,0
Montserrat,11,1
Seychelles,11,0
MS Zaandam,9,2
Western Sahara,9,1
British Virgin Islands,8,1
Papua New Guinea,8,0
Caribbean Netherlands,7,0
St Barth,6,0
Lesotho,4,0
Anguilla,3,0
Saint Pierre Miquelon,1,0
